"","no.ind","mean","no.species","n.s.","cs","s","ss","sss","meansig"
"1",5,94.1981376400767,43,18,2,8,6,9,140.206121528694
"2",6,94.1981376400767,43,18,2,8,6,9,140.206121528694
"3",7,94.1981376400767,43,18,2,8,6,9,140.206121528694
"4",8,88.5734200410045,40,18,2,8,4,8,135.857883913842
"5",9,78.5988242867534,37,17,2,7,3,8,127.699206032215
"6",10,78.5988242867534,37,17,2,7,3,8,127.699206032215
"7",11,76.6415008673116,35,16,1,7,3,8,127.699206032215
"8",12,76.6415008673116,35,16,1,7,3,8,127.699206032215
"9",13,72.374023037605,33,15,1,6,3,8,121.772114027349
"10",14,78.1276254094821,30,12,1,6,3,8,121.772114027349
"11",15,79.5962172671035,29,12,1,6,3,7,127.161717307904
"12",16,70.3076228339825,27,12,1,5,2,7,116.043070907
"13",17,70.3076228339825,27,12,1,5,2,7,116.043070907
"14",18,70.9098652019446,26,11,1,5,2,7,116.043070907
"15",19,68.9022598100224,25,10,1,5,2,7,116.043070907
"16",20,68.9022598100224,25,10,1,5,2,7,116.043070907
"17",21,65.2904852819046,24,10,1,4,2,7,113.001395708703
"18",22,64.2594646475894,22,9,1,3,2,7,110.622417117391
"19",23,64.2594646475894,22,9,1,3,2,7,110.622417117391
"20",24,59.8073894651765,21,9,1,2,2,7,106.337814720948
"21",25,75.8648422717686,20,9,1,2,1,7,143.105762859709
"22",26,77.0137165862506,18,8,0,2,1,7,143.105762859709
"23",27,77.0137165862506,18,8,0,2,1,7,143.105762859709
"24",28,77.0137165862506,18,8,0,2,1,7,143.105762859709
"25",29,77.0137165862506,18,8,0,2,1,7,143.105762859709
"26",30,77.5957373621932,17,7,0,2,1,7,143.105762859709
