"","spec","p.value","no","2009","ind09","2019","ind19","diff","vorzeichen"
"1","Aglais_io",0.0287422855809276,1,1431.4495412844,218,663,2,-768.449541284404,"-"
"2","Aglais_urticae",0.0151771999843851,2,1626.19622641509,265,1517.74,100,-108.456226415094,"-"
"3","Anthocharis_cardamines",0.636786477731311,3,980.319444444444,72,1000.48,50,20.1605555555556,"+"
"4","Aphantopus_hyperantus",1.87280107008921e-07,4,877.552083333333,96,1054.69565217391,46,177.14356884058,"+"
"5","Aporia_crataegi",0.0113581394443487,5,846.9,20,1002.48484848485,33,155.584848484849,"+"
"6","Araschnia_levana",0.00606106322088399,6,720,8,940.363636363636,11,220.363636363636,"+"
"7","Argynnis_aglaja",1.29953007070839e-05,7,1112.08333333333,84,1354.60416666667,48,242.520833333333,"+"
"8","Argynnis_paphia",0.230725813986925,8,900.846153846154,39,967.965517241379,29,67.1193633952255,"+"
"9","Aricia_agestis",0.2967316498888,9,1748.75,4,1528.46666666667,15,-220.283333333333,"-"
"10","Boloria_euphrosyne",0.135280417310428,10,1148.52,25,1269.08219178082,73,120.562191780822,"+"
"11","Boloria_pales",0.0936325596201149,11,1825.4,25,1835.88775510204,98,10.4877551020406,"+"
"12","Boloria_thore",0.0718136605525434,12,1329,2,1509.14285714286,7,180.142857142857,"+"
"13","Boloria_titania",0.102039114476623,13,1443.23076923077,13,1344.4,15,-98.8307692307692,"-"
"14","Callophrys_rubi",0.0533446463040316,14,1381.9,10,1464.11111111111,36,82.211111111111,"+"
"15","Carterocephalus_palaemon",0.554104310075815,15,968.75,12,1034.4,15,65.6500000000001,"+"
"16","Coenonympha_arcania",0.00441544299675536,16,909.714285714286,7,1141.9,20,232.185714285714,"+"
"17","Coenonympha_gardetta",8.01148990661601e-05,17,1304.52380952381,84,1576.32608695652,46,271.802277432712,"+"
"18","Coenonympha_pamphilus",0.438035387687425,18,824.826923076923,52,800.290909090909,55,-24.536013986014,"-"
"19","Colias_alfacariensis",0.195709318424654,19,973.5,4,1196.66666666667,15,223.166666666667,"+"
"20","Colias_crocea",0.133614402537716,20,743.5,4,1073.5,2,330,"+"
"21","Cupido_minimus",0.0262559691300058,21,1217.21276595745,94,1358.7619047619,21,141.549138804458,"+"
"22","Cyaniris_semiargus",0.242130123431016,22,1173.58823529412,17,1333.84615384615,13,160.257918552036,"+"
"23","Erebia_aethiops",2.0730989408625e-13,23,953.455,200,1102.09523809524,126,148.640238095238,"+"
"24","Erebia_epiphron",0.605576616335346,24,1956.4,5,1996.33333333333,3,39.9333333333332,"+"
"25","Erebia_eriphyle",0.00353356557651848,25,1549.14492753623,69,1772.8,15,223.655072463768,"+"
"26","Erebia_euryale",1.53949830419262e-12,26,1428.56020942408,191,1681.03846153846,78,252.478252114378,"+"
"27","Erebia_ligea",0.164218978266289,27,1103.4,30,1224.5,18,121.1,"+"
"28","Erebia_manto",3.87619515837637e-13,28,1513.56451612903,124,1708.44444444444,171,194.879928315412,"+"
"29","Erebia_oeme",0.000858253861555923,29,1154.42857142857,7,1736.45454545455,22,582.025974025974,"+"
"30","Erebia_pandrose",5.20349835013798e-05,30,1989.96153846154,26,2025.5,14,35.5384615384614,"+"
"31","Erebia_pharte",0.0052293121911575,31,1719.02564102564,117,1796.73529411765,34,77.709653092006,"+"
"32","Erebia_pronoe",0.0109413500074943,32,1436.8778280543,221,1537.37931034483,145,100.501482290529,"+"
"33","Erynnis_tages",0.47291736053429,33,1093.46153846154,13,1076.54838709677,31,-16.9131513647644,"-"
"34","Gonepteryx_rhamni",0.622143529816949,34,1195.64516129032,31,985,2,-210.645161290323,"-"
"35","Hamearis_lucina",0.108109487061149,35,818,2,1185.90909090909,11,367.909090909091,"+"
"36","Hesperia_comma",0.93482518841761,36,949.5,4,913.222222222222,9,-36.2777777777778,"-"
"37","Lasiommata_maera",0.0169573885454289,37,1169.20689655172,29,1397.66666666667,12,228.459770114943,"+"
"38","Lasiommata_petropolitana",0.15492495127685,38,1049.16666666667,18,1265.375,8,216.208333333333,"+"
"39","Leptidea_sinapis",0.164148420589601,39,910.641025641026,39,861.057692307692,52,-49.5833333333334,"-"
"40","Lycaena_hippothoe",1,40,1201.33333333333,3,1185.75,4,-15.5833333333333,"-"
"41","Lycaena_tityrus",0.300250284680445,41,915.9,10,1059.39285714286,28,143.492857142857,"+"
"42","Maniola_jurtina",0.76829216608183,42,706.977777777778,135,711.738636363636,88,4.76085858585861,"+"
"43","Melitaea_athalia",0.0124786979538311,43,860.470588235294,17,1046.8,15,186.329411764706,"+"
"44","Melitaea_diamina",0.333333333333333,44,867,2,1013.57142857143,7,146.571428571429,"+"
"45","Nymphalis_antiopa",1,45,1086,2,932,2,-154,"-"
"46","Ochlodes_sylvanus",0.0243613288311373,46,846.541666666667,24,1044.75,8,198.208333333333,"+"
"47","Papilio_machaon",0.0306773932983939,47,1045.16,25,1202.91304347826,23,157.753043478261,"+"
"48","Pararge_aegeria",1,48,1332,1,1251.2,5,-80.8,"-"
"49","Phengaris_arion",0.00621640858371544,49,1507.42857142857,7,1200.8,10,-306.628571428571,"-"
"50","Pieris_brassicae",0.810794924010917,50,1280.42857142857,14,1148,2,-132.428571428571,"-"
"51","Pieris_bryoniae",5.30103140192627e-05,51,1468.49571183533,583,1542.33333333333,375,73.8376214979987,"+"
"52","Pieris_rapae",0.101836340073599,52,1109.07171314741,251,991.227272727273,44,-117.844440420138,"-"
"53","Polyommatus_bellargus",0.794002680192762,53,690.5,8,729.25,4,38.75,"+"
"54","Polyommatus_coridon",0.639474978364632,54,1038.42857142857,42,1050.14285714286,21,11.7142857142858,"+"
"55","Polyommatus_icarus",0.51778090726691,55,770.115384615385,26,824.764705882353,17,54.6493212669683,"+"
"56","Pyrgus_alveus",0.0033826524759354,56,895,4,1782.58333333333,12,887.583333333333,"+"
"57","Pyrgus_andromedae",0.00275089445187179,57,1693.16666666667,24,1431.825,40,-261.341666666667,"-"
"58","Pyrgus_malvae",0.855210108839924,58,939.666666666667,3,997.866666666667,15,58.2,"+"
"59","Thymelicus_lineola",0.0234494448834374,59,731.361111111111,36,871.75,4,140.388888888889,"+"
"60","Thymelicus_sylvestris",0.914255776130278,60,767.071428571429,42,763.920634920635,63,-3.15079365079362,"-"
"61","Vanessa_atalanta",0.0774446793451789,61,1638.77777777778,18,1328,3,-310.777777777778,"-"
"62","Vanessa_cardui",0.140608042323991,62,1426.13552758955,1033,1484.3986013986,143,58.2630738090563,"+"
