",""spec"",""2009"",""ind09"",""2019"",""ind19"",""diff"",""sign"""
"1,""Aglais_io"",1431.4495412844,218,663,2,-768.449541284404,""-"""
"2,""Aglais_urticae"",1626.19622641509,265,1517.74,100,-108.456226415094,""-"""
"3,""Anthocharis_cardamines"",980.319444444444,72,1000.48,50,20.1605555555556,""+"""
"4,""Aphantopus_hyperantus"",877.552083333333,96,1054.69565217391,46,177.14356884058,""+"""
"5,""Aporia_crataegi"",846.9,20,1002.48484848485,33,155.584848484849,""+"""
"6,""Araschnia_levana"",720,8,940.363636363636,11,220.363636363636,""+"""
"7,""Argynnis_aglaja"",1112.08333333333,84,1354.60416666667,48,242.520833333333,""+"""
"8,""Argynnis_paphia"",900.846153846154,39,967.965517241379,29,67.1193633952255,""+"""
"9,""Aricia_agestis"",1748.75,4,1528.46666666667,15,-220.283333333333,""-"""
"10,""Boloria_euphrosyne"",1148.52,25,1269.08219178082,73,120.562191780822,""+"""
"11,""Boloria_pales"",1825.4,25,1835.88775510204,98,10.4877551020406,""+"""
"12,""Boloria_thore"",1329,2,1509.14285714286,7,180.142857142857,""+"""
"13,""Boloria_titania"",1443.23076923077,13,1344.4,15,-98.8307692307692,""-"""
"14,""Callophrys_rubi"",1381.9,10,1464.11111111111,36,82.211111111111,""+"""
"15,""Carterocephalus_palaemon"",968.75,12,1034.4,15,65.6500000000001,""+"""
"16,""Coenonympha_arcania"",909.714285714286,7,1141.9,20,232.185714285714,""+"""
"17,""Coenonympha_gardetta"",1304.52380952381,84,1576.32608695652,46,271.802277432712,""+"""
"18,""Coenonympha_pamphilus"",824.826923076923,52,800.290909090909,55,-24.536013986014,""-"""
"19,""Colias_alfacariensis"",973.5,4,1196.66666666667,15,223.166666666667,""+"""
"20,""Colias_crocea"",743.5,4,1073.5,2,330,""+"""
"21,""Cupido_minimus"",1217.21276595745,94,1358.7619047619,21,141.549138804458,""+"""
"22,""Cyaniris_semiargus"",1173.58823529412,17,1333.84615384615,13,160.257918552036,""+"""
"23,""Erebia_aethiops"",953.455,200,1102.09523809524,126,148.640238095238,""+"""
"24,""Erebia_epiphron"",1956.4,5,1996.33333333333,3,39.9333333333332,""+"""
"25,""Erebia_eriphyle"",1549.14492753623,69,1772.8,15,223.655072463768,""+"""
"26,""Erebia_euryale"",1428.56020942408,191,1681.03846153846,78,252.478252114378,""+"""
"27,""Erebia_ligea"",1103.4,30,1224.5,18,121.1,""+"""
"28,""Erebia_manto"",1513.56451612903,124,1708.44444444444,171,194.879928315412,""+"""
"29,""Erebia_oeme"",1154.42857142857,7,1736.45454545455,22,582.025974025974,""+"""
"30,""Erebia_pandrose"",1989.96153846154,26,2025.5,14,35.5384615384614,""+"""
"31,""Erebia_pharte"",1719.02564102564,117,1796.73529411765,34,77.709653092006,""+"""
"32,""Erebia_pronoe"",1436.8778280543,221,1537.37931034483,145,100.501482290529,""+"""
"33,""Erynnis_tages"",1093.46153846154,13,1076.54838709677,31,-16.9131513647644,""-"""
"34,""Gonepteryx_rhamni"",1195.64516129032,31,985,2,-210.645161290323,""-"""
"35,""Hamearis_lucina"",818,2,1185.90909090909,11,367.909090909091,""+"""
"36,""Hesperia_comma"",949.5,4,913.222222222222,9,-36.2777777777778,""-"""
"37,""Lasiommata_maera"",1169.20689655172,29,1397.66666666667,12,228.459770114943,""+"""
"38,""Lasiommata_petropolitana"",1049.16666666667,18,1265.375,8,216.208333333333,""+"""
"39,""Leptidea_sinapis"",910.641025641026,39,861.057692307692,52,-49.5833333333334,""-"""
"40,""Lycaena_hippothoe"",1201.33333333333,3,1185.75,4,-15.5833333333333,""-"""
"41,""Lycaena_tityrus"",915.9,10,1059.39285714286,28,143.492857142857,""+"""
"42,""Maniola_jurtina"",706.977777777778,135,711.738636363636,88,4.76085858585861,""+"""
"43,""Melitaea_athalia"",860.470588235294,17,1046.8,15,186.329411764706,""+"""
"44,""Melitaea_diamina"",867,2,1013.57142857143,7,146.571428571429,""+"""
"45,""Nymphalis_antiopa"",1086,2,932,2,-154,""-"""
"46,""Ochlodes_sylvanus"",846.541666666667,24,1044.75,8,198.208333333333,""+"""
"47,""Papilio_machaon"",1045.16,25,1202.91304347826,23,157.753043478261,""+"""
"48,""Pararge_aegeria"",1332,1,1251.2,5,-80.8,""-"""
"49,""Phengaris_arion"",1507.42857142857,7,1200.8,10,-306.628571428571,""-"""
"50,""Pieris_brassicae"",1280.42857142857,14,1148,2,-132.428571428571,""-"""
"51,""Pieris_bryoniae"",1468.49571183533,583,1542.33333333333,375,73.8376214979987,""+"""
"52,""Pieris_rapae"",1109.07171314741,251,991.227272727273,44,-117.844440420138,""-"""
"53,""Polyommatus_bellargus"",690.5,8,729.25,4,38.75,""+"""
"54,""Polyommatus_coridon"",1038.42857142857,42,1050.14285714286,21,11.7142857142858,""+"""
"55,""Polyommatus_icarus"",770.115384615385,26,824.764705882353,17,54.6493212669683,""+"""
"56,""Pyrgus_alveus"",895,4,1782.58333333333,12,887.583333333333,""+"""
"57,""Pyrgus_andromedae"",1693.16666666667,24,1431.825,40,-261.341666666667,""-"""
"58,""Pyrgus_malvae"",939.666666666667,3,997.866666666667,15,58.2,""+"""
"59,""Thymelicus_lineola"",731.361111111111,36,871.75,4,140.388888888889,""+"""
"60,""Thymelicus_sylvestris"",767.071428571429,42,763.920634920635,63,-3.15079365079362,""-"""
"61,""Vanessa_atalanta"",1638.77777777778,18,1328,3,-310.777777777778,""-"""
"62,""Vanessa_cardui"",1426.13552758955,1033,1484.3986013986,143,58.2630738090563,""+"""
