plot;elev;man.bin;year;spec.no;flow_cov;div.hp;cov.hp;temps;tempy
H1;818;1;2009;25;1.61;46;99.70229971;14.2468816;7.741547664
H2;985;1;2009;27;4.02;39;114.9988884;13.66322649;7.157892553
H3;1106;1;2009;17;2.42;46;104.4026833;13.16025068;6.654916742
H4;1326;1;2009;23;2.22;42;76.44135561;12.26452612;5.759192181
H5;1580;0;2009;14;4.39;29;82.50845691;11.13484483;4.629510891
H6;1807;0;2009;14;1.17;20;88.73508182;9.835928871;3.330594931
H7;1986;0;2009;10;1.02;18;74.58094429;8.796156266;2.290822325
HO1;828;1;2009;28;4.07;40;87.8018259;14.21486177;7.709527833
HO2;1046;1;2009;12;1.73;30;114.3476845;13.40753092;6.902196981
HO3;1332;1;2009;19;2.8;21;35.05915409;12.24249315;5.737159211
HO4;1546;0;2009;17;2.14;28;106.9963502;11.28064658;4.775312634
HO5;1821;1;2009;9;1.09;23;67.87225666;9.742978677;3.237644736
T1;716;1;2009;15;10.44;27;78.63221972;14.65581665;8.150482709
T3;663;1;2009;22;2.08;29;87.99765;14.80289221;8.297558266
T4;644;1;2009;21;2.87;32;94.9200426;14.91488713;8.409553188
T5;749;1;2009;21;1.68;29;85.49124095;14.48024405;7.974910106
W1;815;0;2009;16;0.77;18;74.57571135;14.26109527;7.75576133
W2;1016;0;2009;27;1.19;26;53.29533831;13.59991636;7.094582417
W3;1162;0;2009;15;2.27;32;90.39714205;12.95386767;6.448533727
W4;1235;0;2009;10;0.84;11;48.12114392;12.6547226;6.149388658
W5;1446;0;2009;12;0.57;15;58.29769884;11.71270064;5.207366696
W6;1805;0;2009;20;1.62;24;115.8252933;9.905178907;3.399844966
W7;2017;0;2009;16;0.74;17;84.93544649;8.564739077;2.059405136
WmA1;768;1;2009;20;2.2;36;97.94462408;14.39211533;7.886781388
WmA2;1240;1;2009;19;2.33;36;118.6691378;12.65054236;6.145208417
WmA3;1423;1;2009;17;1.93;37;95.53473849;11.78796745;5.282633508
WmA4;1770;0;2009;12;1.09;30;88.50147203;9.991174836;3.485840896
WmA5;2034;0;2009;5;0.41;7;79.07781929;8.451160221;1.94582628
WmB1;962;1;2009;19;1.98;38;90.40746236;13.71508065;7.209746712
WmB2;1139;1;2009;16;2.1;38;98.69463101;13.04579827;6.54046433
WmB3;1418;1;2009;9;2.32;40;83.09302979;11.85787874;5.352544804
WmB4;1654;1;2009;12;1.74;17;87.97536771;10.6607349;4.155400962
WmB5;1812;0;2009;11;1.93;24;89.35768803;9.882140017;3.376806076
H1;818;1;2019;19;2.1;40;60.99712579;14.08879107;8.307387214
H2;985;1;2019;25;3.05;35;69.95879042;13.66247609;7.881072024
H3;1106;1;2019;21;2.68;39;81.64153572;13.2834442;7.502039971
H4;1326;1;2019;28;4.01;49;85.79878527;12.57056167;6.789157716
H5;1580;0;2019;24;6.61;29;60.95672256;11.59651167;5.815107727
H6;1807;0;2019;14;1.71;20;77.43155665;10.38230556;4.600901208
H7;1986;0;2019;9;1.56;20;78.83133353;9.351422716;3.570018759
HO1;828;1;2019;15;1.42;43;73.08649368;14.0656359;8.284231698
HO2;1046;1;2019;16;3.8;37;95.11258219;13.47148213;7.690078034
HO3;1332;1;2019;23;12.11;26;54.77510915;12.55236371;6.770959771
HO4;1546;0;2019;17;2.96;30;78.01807527;11.72679225;5.945388245
HO5;1821;1;2019;10;1.95;22;55.84741294;10.29204977;4.510645822
T1;716;1;2019;16;7.94;26;83.61426172;14.3833298;8.60192585
T3;663;1;2019;13;2.09;NA;NA;14.48894722;8.707543364
T4;644;1;2019;15;1.89;37;64.28441312;14.56935308;8.78794908
T5;749;1;2019;10;4.82;16;94.79395228;14.25709307;8.475689064
W1;815;0;2019;17;1.3;17;55.33964985;14.09906503;8.317660784
W2;1016;0;2019;25;1.23;26;32.69177606;13.6154827;7.834078684
W3;1162;0;2019;26;4.43;26;68.36188911;13.12373081;7.342326903
W4;1235;0;2019;13;0.46;12;52.27672418;12.88749246;7.106088347
W5;1446;0;2019;11;0.83;13;57.47482914;12.10506907;6.323665131
W6;1805;0;2019;19;1.2;24;78.39953991;10.44928105;4.66787727
W7;2017;0;2019;19;1.26;26;81.35536588;9.116163047;3.334759152
WmA1;768;1;2019;16;5.66;37;76.24592492;14.19361854;8.412214688
WmA2;1240;1;2019;14;1.77;41;99.51047757;12.88415013;7.102746196
WmA3;1423;1;2019;12;1.75;39;99.94501744;12.16974584;6.388341643
WmA4;1770;0;2019;6;1.56;31;90.04858128;10.53213043;4.750726546
WmA5;2034;0;2019;10;1.17;7;65.90759522;9.000004186;3.218599951
WmB1;962;1;2019;15;3.16;40;71.04226897;13.70083172;7.919427752
WmB2;1139;1;2019;16;4.51;39;80.12031812;13.19519554;7.413791347
WmB3;1418;1;2019;12;4.59;43;87.62626379;12.22948733;6.448083464
WmB4;1654;1;2019;14;1.06;12;58.96517555;11.16411466;5.382710388
WmB5;1812;0;2019;13;1.57;23;77.05289372;10.42702481;4.645620547
