"","abbr","2009","no.sb09","2019","no.sb19","diff","vorzeichen"
"10","aego_poda",785.411764705882,17,716,7,-69.4117647058823,"-"
"13","agro_capi",1099.32142857143,28,1313.58620689655,58,214.264778325123,"+"
"28","anth_odor",1157.09345794393,107,1032.85593220339,118,-124.237525740535,"-"
"31","anth_vuln",1442.88571428571,70,1553.28358208955,67,110.397867803838,"+"
"36","arab_hirs",696.5,2,797.833333333333,6,101.333333333333,"+"
"39","arrh_elat",851.611111111111,36,808.451612903226,31,-43.1594982078852,"-"
"48","bisc_laev",1555.81927710843,83,1583.56962025316,79,27.750343144731,"+"
"50","brac_pinn",678.416666666667,12,720.153846153846,13,41.7371794871796,"+"
"51","brac_sylv",822.2,20,842.7,10,20.5,"+"
"52","briz_medi",1167.92920353982,113,1243.47899159664,119,75.5497880568157,"+"
"54","cala_alpi",1340.05172413793,58,1405.62295081967,61,65.5712266817411,"+"
"55","cala_vari",1318.17910447761,67,1234.48979591837,49,-83.6893085592446,"-"
"56","cala_vill",1710.4,5,1864,3,153.6,"+"
"64","card_defl",1450.91379310345,58,1480.75,64,29.8362068965516,"+"
"66","care_alba",897.826086956522,23,861.125,8,-36.7010869565217,"-"
"67","care_atra",2009.25,4,2017,3,7.75,"+"
"68","care_capi",1892.16666666667,6,1151.71428571429,7,-740.452380952381,"-"
"69","care_cary",941.966101694915,59,978.089285714286,56,36.1231840193705,"+"
"70","care_dava",1139,1,1546,1,407,"+"
"71","care_digi",1487,48,1305.42857142857,14,-181.571428571429,"-"
"72","care_eric",1161,4,1024.2,10,-136.8,"-"
"73","care_ferr",1456.32061068702,131,1610.30303030303,99,153.982419616007,"+"
"74","care_firm",1540.46575342466,73,1518.84285714286,70,-21.6228962818004,"-"
"75","care_flac",1054.55,120,1079.10909090909,110,24.5590909090909,"+"
"76","care_flav",1204.59090909091,22,1139,30,-65.590909090909,"-"
"77","care_fusc",1249.09090909091,22,1271.25,16,22.159090909091,"+"
"78","care_host",866,6,818,4,-48,"-"
"79","care_lepi",1240,2,1331.5,10,91.5,"+"
"80","care_mont",676.785714285714,14,678.416666666667,12,1.63095238095229,"+"
"81","care_mucr",1097.04347826087,23,1034.2380952381,21,-62.8053830227743,"-"
"82","care_orni",1442.86170212766,94,1345.9243697479,119,-96.9373323797604,"-"
"83","care_oval",1038.5,10,1186.8,15,148.3,"+"
"84","care_pall",1060.31578947368,57,1147.29166666667,48,86.9758771929826,"+"
"85","care_pani",1079.59420289855,69,1147,64,67.4057971014493,"+"
"86","care_semp",1628.79207920792,101,1595.89380530973,113,-32.8982738981863,"-"
"87","care_sylv",1003.58571428571,70,1003.71212121212,66,0.126406926406958,"+"
"89","caru_carv",1136.77777777778,18,1124.05555555556,18,-12.7222222222222,"-"
"98","cirs_arve",975.1875,16,828,1,-147.1875,"-"
"111","cyno_cris",1101.68085106383,47,1067.95714285714,70,-33.723708206687,"-"
"113","dact_glom",1003.26126126126,111,1061.671875,128,58.4106137387388,"+"
"116","dant_decu",820,5,872.8,10,52.8,"+"
"119","desc_cesp",1427.24137931034,58,1485.80434782609,46,58.5629685157421,"+"
"121","drya_octo",1614.61764705882,68,1594.69491525424,59,-19.9227318045862,"-"
"128","eric_carn",1186.71428571429,42,1174.94285714286,35,-11.7714285714287,"-"
"134","fest_alpi",1821,1,1821,2,0,"0"
"135","fest_nigr",1353.41379310345,29,1238.96551724138,29,-114.448275862069,"-"
"136","fest_nori",1880.71428571429,14,1911,14,30.2857142857142,"+"
"137","fest_prat",983.711538461538,104,1002.39361702128,94,18.6820785597381,"+"
"138","fest_quad",1930.375,40,1930.70731707317,41,0.332317073170771,"+"
"139","fest_rubr",1075.24761904762,105,1079.52205882353,136,4.27443977591042,"+"
"140","fest_rupr",716,1,1488.4,10,772.4,"+"
"141","frag_vesc",1094.48076923077,52,1080.65853658537,41,-13.8222326454033,"-"
"142","fran_alnu",818,2,818,2,0,"0"
"156","gera_robe",1016,2,922,2,-94,"-"
"157","gera_sylv",1547.97058823529,34,1543.59375,32,-4.37683823529414,"-"
"160","glob_cord",1023.95,20,1032.19047619048,21,8.2404761904761,"+"
"169","heli_alpe",2001.5,14,1871,13,-130.5,"-"
"170","heli_numm",1576.93220338983,59,1598.7972972973,74,21.8650939074669,"+"
"181","hipp_como",1157.45945945946,37,1202.95238095238,42,45.4929214929216,"+"
"182","holc_lana",715.25,16,774.260869565217,23,59.0108695652174,"+"
"198","lath_prat",709.444444444444,27,734.428571428571,21,24.984126984127,"+"
"207","loli_pere",828,2,900.666666666667,18,72.6666666666666,"+"
"208","lotu_corn",1256.54285714286,175,1322.08383233533,167,65.5409751924722,"+"
"219","medi_lupu",841.25,12,692.714285714286,7,-148.535714285714,"-"
"220","mela_sylv",1273.33333333333,12,1217.66666666667,6,-55.6666666666665,"-"
"221","meli_nuta",1004.4,5,930.285714285714,7,-74.1142857142856,"-"
"228","moli_arun",1016,1,915.5,16,-100.5,"-"
"229","moli_caer",1035.63636363636,22,644,1,-391.636363636364,"-"
"232","nard_stri",1452.40909090909,22,1411.72727272727,22,-40.6818181818182,"-"
"234","orig_vulg",966.038461538462,26,937.096774193548,31,-28.9416873449131,"-"
"243","phle_prat",1104.25,16,1065.76470588235,17,-38.4852941176471,"-"
"249","pimp_saxi",825.5,6,861.5,6,36,"+"
"253","plan_atra",815,1,1106,2,291,"+"
"254","plan_lanc",1021.92682926829,123,1047.56115107914,139,25.634321810844,"+"
"256","plan_medi",1142.59322033898,59,1137.80357142857,56,-4.78964891041164,"-"
"258","poa_alpi",1580.70149253731,67,1545.48214285714,56,-35.2193496801706,"-"
"259","poa_annu",958.5,12,1104.27777777778,18,145.777777777778,"+"
"260","poa_nemo",1527.8,5,1599.5,4,71.7,"+"
"261","poa_prat",993.512195121951,41,1038.625,48,45.1128048780488,"+"
"262","poa_triv",1015.45833333333,24,984.837837837838,37,-30.6204954954956,"-"
"272","pote_aure",1626.51666666667,60,1658.68965517241,58,32.1729885057471,"+"
"273","pote_brau",1821,9,1894.33333333333,9,73.3333333333333,"+"
"274","pote_erec",1246.64233576642,137,1262.18493150685,146,15.5425957404259,"+"
"275","pote_rept",900.666666666667,3,900.666666666667,3,0,"0"
"277","prim_elat",952.785714285714,28,1005.28,25,52.4942857142856,"+"
"280","prim_veri",644,7,692.714285714286,7,48.7142857142857,"+"
"289","rhin_alec",722.6,5,784.454545454545,11,61.8545454545455,"+"
"296","rubu_idae",1399.6,5,1402.66666666667,6,3.06666666666683,"+"
"297","rubu_saxa",1326,2,1546,4,220,"+"
"298","rume_acet",967.607142857143,28,918.825,40,-48.7821428571428,"-"
"308","sang_mino",985,2,985,2,0,"0"
"319","sesl_albi",1468.77222222222,180,1427.90361445783,166,-40.8686077643908,"-"
"327","sorb_aucu",1313,4,1395,4,82,"+"
"340","thym_prae",1308.01886792453,53,1325.2875,80,17.2686320754717,"+"
"341","thym_pule",977.041666666667,24,890.647058823529,17,-86.3946078431372,"-"
"345","trif_medi",788,6,803,2,15,"+"
"346","trif_mont",858,8,858,4,0,"0"
"347","trif_prat",1120.5985915493,142,1160.73076923077,156,40.1321776814734,"+"
"348","trif_repe",981.818181818182,66,1010.04411764706,68,28.2259358288769,"+"
"352","urti_dioi",1189,4,1058.66666666667,3,-130.333333333333,"-"
"353","vacc_myrt",1616.66,50,1589.33962264151,53,-27.3203773584908,"-"
"354","vacc_ulig",2034,1,2030.6,5,-3.40000000000009,"-"
"355","vacc_viti",1828.39130434783,23,1878,13,49.608695652174,"+"
"356","vale_mont",1687.66666666667,3,1812,3,124.333333333333,"+"
"357","vale_saxa",1231.89189189189,37,1217.34285714286,35,-14.5490347490347,"-"
"358","vale_trip",1381.2,5,1601.2,5,220,"+"
"361","vero_arve",973.333333333333,3,818,1,-155.333333333333,"-"
"362","vero_cham",1129.58333333333,132,1110.376,125,-19.2073333333333,"-"
"367","vici_crac",763.846153846154,13,732.2,10,-31.6461538461538,"-"
"370","viol_bifl",1621.38709677419,93,1663.16279069767,86,41.7756939234807,"+"
"371","viol_coll",1000.5,2,1016,3,15.5,"+"
"372","viol_hirt",687.5,8,656.4,10,-31.1,"-"
"373","viol_reic",924,6,917,5,-7,"-"
