;no.ind;mean;no.species;n.s.;cs;s;ss;sss;meansig
1;5;94.19813764;43;18;2;8;6;9;140.2061215
2;6;94.19813764;43;18;2;8;6;9;140.2061215
3;7;94.19813764;43;18;2;8;6;9;140.2061215
4;8;88.57342004;40;18;2;8;4;8;135.8578839
5;9;78.59882429;37;17;2;7;3;8;127.699206
6;10;78.59882429;37;17;2;7;3;8;127.699206
7;11;76.64150087;35;16;1;7;3;8;127.699206
8;12;76.64150087;35;16;1;7;3;8;127.699206
9;13;72.37402304;33;15;1;6;3;8;121.772114
10;14;78.12762541;30;12;1;6;3;8;121.772114
11;15;79.59621727;29;12;1;6;3;7;127.1617173
12;16;70.30762283;27;12;1;5;2;7;116.0430709
13;17;70.30762283;27;12;1;5;2;7;116.0430709
14;18;70.9098652;26;11;1;5;2;7;116.0430709
15;19;68.90225981;25;10;1;5;2;7;116.0430709
16;20;68.90225981;25;10;1;5;2;7;116.0430709
17;21;65.29048528;24;10;1;4;2;7;113.0013957
18;22;64.25946465;22;9;1;3;2;7;110.6224171
19;23;64.25946465;22;9;1;3;2;7;110.6224171
20;24;59.80738947;21;9;1;2;2;7;106.3378147
21;25;75.86484227;20;9;1;2;1;7;143.1057629
22;26;77.01371659;18;8;0;2;1;7;143.1057629
23;27;77.01371659;18;8;0;2;1;7;143.1057629
24;28;77.01371659;18;8;0;2;1;7;143.1057629
25;29;77.01371659;18;8;0;2;1;7;143.1057629
26;30;77.59573736;17;7;0;2;1;7;143.1057629
