;no.sb;mean;no.species;n.s.;cs;s;ss;sss;meansig
1;5;-1.790834101;85;69;4;8;2;2;-6.471687122
2;6;-5.175035759;79;65;4;7;1;2;-35.95147909
3;7;4.622252929;76;63;4;6;1;2;42.32639889
4;8;7.130471451;73;62;3;6;1;1;56.29366934
5;9;8.286274688;71;60;3;6;1;1;56.29366934
6;10;7.357030993;70;60;3;5;1;1;53.85943163
7;11;5.639377961;67;59;3;3;1;1;41.64320428
8;12;5.639377961;67;59;3;3;1;1;41.64320428
9;13;2.948318965;64;57;3;2;1;1;15.60956091
10;14;4.348124485;62;55;3;2;1;1;15.60956091
11;15;7.01449054;60;54;3;1;1;1;81.3365574
12;16;7.01449054;60;54;3;1;1;1;81.3365574
13;17;6.634820456;57;51;3;1;1;1;81.3365574
14;18;8.296060247;56;50;3;1;1;1;81.3365574
15;19;8.678210838;55;49;3;1;1;1;81.3365574
16;20;8.678210838;55;49;3;1;1;1;81.3365574
17;21;8.686317035;54;48;3;1;1;1;81.3365574
18;22;9.747737999;52;46;3;1;1;1;81.3365574
19;23;12.26310206;50;44;3;1;1;1;81.3365574
20;24;12.26310206;50;44;3;1;1;1;81.3365574
21;25;13.13827752;49;43;3;1;1;1;81.3365574
22;26;12.31836069;48;42;3;1;1;1;81.3365574
23;27;13.19623405;47;41;3;1;1;1;81.3365574
24;28;13.19623405;47;41;3;1;1;1;81.3365574
25;29;10.10534144;45;40;3;1;0;1;14.87244694
26;30;12.93610547;44;39;3;1;0;1;14.87244694
